Row Labels,Anchovy,Banana,Beef,Cassava,Cassava Chips(Kokonte),Coconut Oil,Cocoyam,Cowpea,Dried pepper,Eggs commercial,Fresh pepper,Garden Egg,Gari,Ginger,Groundnut (Red),Groundnut Oil,Live bird,Maize ,Mango,Millet,Okro,Onion,Oranges,Paddy Rice,Palm  Fruit,Palm Oil,Pineapple,Plantain (Apem),Plantain (Apentu),Pork,Rice - Imported (non-perfumed),Rice - Imported (perfumed),Rice Local  (local perfumed),Rice Local (non-perfumed),Salted Dried Fish(Koobi),Smoked Herrings,Sorghum,Soya Bean,Tomatoes,Yam (White)
JANUARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,60,,,185,280,225,13,83,,,,423,,,127,,180,,205,15,#DIV/0!,60,71,,15,12,,200,230,207,163,,75,207,,443,348
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,240,#DIV/0!,10,#DIV/0!,,,,400,,,120,,145,,#DIV/0!,#DIV/0!,90,#DIV/0!,40,,20,18,,150,200,150,135,,#DIV/0!,130,,150,150
CAPECOAST,,,,40,,,320,350,150,13,90,,,,420,,,150,,200,,380,10,130,22,90,,18,13,,200,280,150,125,,40,220,,400,300
EJURA,,,,25,,,150,500,170,15,70,,,,370,,,69,,120,,480,30,150,30,65,,12,10,,220,230,110,100,,#DIV/0!,120,,150,220
HO,,,,90,,,91,305,148,9,66,,,,410,,,160,,149,,140,24,#DIV/0!,40,80,,11,14,,110,150,185,120,,14,153,,400,450
KOFORIDUA,,,,35,,,150,390,350,13,200,,,,390,,,170,,180,,350,15,#DIV/0!,60,150,,12,8,,220,270,#DIV/0!,#DIV/0!,,50,140,,500,#DIV/0!
KUMASI,,,,28,,,90,220,150,14,100,,,,350,,,125,,170,,450,6.5,84,65,80,,24,8.5,,180,280,120,115,,60,160,,65,180
MANKESSIM,,,,36,,,185,330,120,13.5,70,,,,420,,,190,,185,,320,13,100,48,80,,14.5,8.5,,185,270,160,135,,28,210,,350,320
OBUASI,,,,25,,,120,400,350,11,100,,,,350,,,110,,220,,360,10,100,15,110,,30,18,,160,210,85,85,,60,220,,100,350
SUNYANI,,,,28,,,130,340,150,10,60,,,,300,,,72,,160,,550,7,#DIV/0!,40,108,,7,5,,255,220,135,135,,100,160,,200,180
TAKORADI,,,,65,,,180,350,450,10,160,,,,450,,,140,,200,,400,14,150,60,68,,25,20,,200,250,150,140,,50,180,,400,400
TAMALE,,,,60,,,#DIV/0!,320,112,10,50,,,,320,,,100,,180,,400,10,90,#DIV/0!,57,,20,15,,240,270,200,140,,#DIV/0!,160,,150,90
TECHIMAN,,,,30,,,80,160,170,8,50,,,,250,,,50,,95,,73,20,60,32,62,,8,7,,145,185,85,85,,35,100,,100,260
TEMA,,,,70,,,#DIV/0!,400,250,15,150,,,,440,,,108,,180,,400,16,#DIV/0!,#DIV/0!,85,,#DIV/0!,10,,220,276,#DIV/0!,#DIV/0!,,60,#DIV/0!,,300,#DIV/0!
WA,,,,70,,,#DIV/0!,233.6,427.2,14,166,,,,307.5,,,96.4,,143.1,,420,24,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.86,,#DIV/0!,116.8,,165,220
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,60,,,185,280,225,13,83,,,,423,,,127,,180,,205,15,#DIV/0!,60,71,,15,12,,200,230,207,163,,75,207,,443,348
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,200,#DIV/0!,12,#DIV/0!,,,,380,,,100,,110,,#DIV/0!,#DIV/0!,90,#DIV/0!,50,,12,10,,155,200,165,145,,#DIV/0!,100,,180,250
CAPECOAST,,,,40,,,320,350,150,13,90,,,,420,,,150,,200,,380,10,130,22,90,,18,13,,200,280,150,125,,40,220,,400,300
EJURA,,,,25,,,150,500,170,15,70,,,,370,,,69,,120,,480,30,150,30,65,,12,10,,220,230,110,100,,#DIV/0!,120,,150,220
