Row Labels,Anchovy,Banana,Beef,Cassava,Cassava Chips(Kokonte),Coconut Oil,Cocoyam,Cowpea,Dried pepper,Eggs commercial,Fresh pepper,Garden Egg,Gari,Ginger,Groundnut (Red),Groundnut Oil,Live bird,Maize ,Mango,Millet,Okro,Onion,Oranges,Paddy Rice,Palm  Fruit,Palm Oil,Pineapple,Plantain (Apem),Plantain (Apentu),Pork,Rice - Imported (non-perfumed),Rice - Imported (perfumed),Rice Local  (local perfumed),Rice Local (non-perfumed),Salted Dried Fish(Koobi),Smoked Herrings,Sorghum,Soya Bean,Tomatoes,Unshelled Groundnut,Watermelon,Yam (White)
JANUARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,8,,80,110,90,350,400,450,16,140,120,120,250,500,,,170,,200,,420,20,,,80,130,13,10,,200,240,220,190,200,85,190,350,600,,,400
BOLGATANGA,,,,,,,,235,,10,,,100,,320,50,,100,,120,,,,,,,,40,30,,160,290,140,120,,,90,,300,,40,500
CAPE COAST,400,7,,70,100,95,300,370,150,16,160,80,170,140,450,,,180,,200,65,600,16,140,30,85,120,25,15,,220,290,190,170,150,40,220,450,500,,500,400
EJURA,270,,,20,32,350,60,240,300,15,50,60,250,,500,,,120,,150,200,600,25,75,,85,,10,9,,200,280,250,180,270,,150,,220,200,,450
HO,,,,75,,,150,500,350,17,,,,,260,,,150,,200,,140,12,,72,120,,13,20,,140,220,240,240,,80,200,,300,,,350
KOFORIDUA,,,,50,,,120,320,600,17,100,,,,560,,,200,,170,,600,10,,60,120,,24,13,,270,220,,,,55,200,,650,,,
KUMASI,,9,,46,,,110,230,200,17,160,70,180,140,500,110,,145,,170,,600,8,86,,80,,30,10,,200,250,160,150,,60,165,240,170,,,240
MANKESSIM,470,5.4,,75,120,97,280,380,240,16.2,96,60,160,157,465,,,200,,235,100,730,13,155,68,86,160,19,12,,227,300,195,187,200,40,240,385,400,,470,500
OBUASI,120,,,30,120,60,100,500,550,16,250,60,400,250,400,100,,170,100,170,75,600,,100,,70,,10,5,,135,190,180,180,300,50,220,250,500,,,400
SUNYANI,60,5,,40,32,,95,270,175,15,60,70,150,130,440,,,112,,180,,260,10,,48,60,40,7,5,,190,250,220,240,18,70,180,220,260,,100,300
TAKORADI,,10,,85,100,120,200,380,650,17,250,80,150,160,480,,,166,,240,75,450,15,180,60,85,160,32,28,,250,320,200,180,250,45,220,250,550,,,400
TAMALE,,40,,80,70,,150,240,112,14,50,25,120,150,360,66,,120,,140,30,500,20,80,30,87,400,30,20,,300,230,120,100,,,140,200,90,,,200
TECHIMAN,,,,45,,,220,220,280,15,75,,,,370,,,100,,150,,277,7,130,72,90,,14,13,,240,300,240,240,,40,150,,50,,,300
TEMA,,,,90,130,,,366,450,18,,120,140,250,480,,,150,,250,,540,30,,70,110,,20,15,,300,210,,,,80,,240,300,,,
WA,,,,70,,,,272,480,16,100,,,,,,,142.85,,143.1,,600,19,127.8,,141.1,,,30,,160,220,,142.85,,,136.25,,180,,,260
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,8,,80,110,90,350,400,450,16,140,120,120,250,500,,,170,,200,,420,20,,,80,130,13,10,,200,240,220,190,200,85,190,350,600,,,400
BOLGATANGA,,,,,,,,280,,15,,,95,,385,80,,100,,120,,,,,,,,30,25,,170,280,140,115,,,110,,300,,65,550
CAPE COAST,450,8,,80,100,95,300,370,150,16,120,80,170,140,450,,,180,,200,70,550,16,140,35,85,150,25,15,,220,290,190,170,200,45,220,450,350,,,450
EJURA,270,,,30,35,,60,250,300,18,50,60,250,,520,,,130,,150,250,600,8,75,,85,,12,10,,75,200,180,280,350,,220,220,250,,,450
HO,100,10,,70,,90,80,400,200,17,,100,100,300,300,80,,180,200,200,50,600,15,,80,65,200,15,20,,130,290,250,260,150,80,200,200,400,,200,400
KOFORIDUA,,,,50,,,120,320,600,17,100,,,,560,,,200,,170,,600,10,,60,120,,24,13,,270,220,,,,55,200,,650,,,
