"","date","town","paddyrice","riceimportednonperfumed","riceimportedperfumed","ricelocallocalperfumed","ricelocalnonperfumed","maize","millet","eggscommercial","gardenegg","oranges","smokedherrings","palmfruit","palmoil","onion","tomatoes","groundnutred","plantainapem","plantainapentu","cocoyam","yamwhite","sorghum","beef","pork","livebird","anchovy","cassava","cassavachipskokonte","coconutoil","cowpea","n"
"1",2015-01-03,"ACCRA",NA,200,230,207,163,127,180,13,NA,15,75,60,71,205,443,423,15,12,185,348,207,NA,NA,NA,NA,60,NA,NA,280,1
"2",2015-01-10,"ACCRA",NA,200,230,207,163,127,180,13,NA,15,75,60,71,205,443,423,15,12,185,348,207,NA,NA,NA,NA,60,NA,NA,280,2
"3",2015-01-17,"ACCRA",NA,200,230,207,163,127,180,13,NA,15,75,60,71,205,443,423,15,12,185,348,207,NA,NA,NA,NA,60,NA,NA,280,3
"4",2015-01-24,"ACCRA",NA,200,230,207,163,127,180,13,NA,15,75,60,71,205,443,423,15,12,185,348,207,NA,NA,NA,NA,60,NA,NA,280,4
"5",2015-01-31,"ACCRA",NA,200,230,207,163,127,180,13,NA,15,75,60,71,205,443,423,15,12,185,348,207,NA,NA,NA,NA,60,NA,NA,280,5
"6",2015-02-07,"ACCRA",NA,200,230,207,163,127,180,13,NA,15,75,60,71,205,443,423,15,12,185,348,207,NA,NA,NA,NA,60,NA,NA,280,6
"7",2015-02-14,"ACCRA",NA,202,234,210,154,130,180,13,NA,16,75,60,72,250,458,425,13,10,230,365,210,NA,NA,NA,NA,65,NA,NA,333,7
"8",2015-02-21,"ACCRA",NA,200,230,210,166,130,183,14,NA,15,75,50,72,210,390,418,12,10,207,335,205,NA,NA,NA,NA,60,NA,NA,353,8
"9",2015-02-28,"ACCRA",NA,200,230,210,164,129,183,14,NA,14,72,NA,72,203,357,418,11,8,200,335,210,NA,NA,NA,NA,60,NA,NA,353,9
"10",2015-03-07,"ACCRA",NA,230,200,200,160,130,180,14,NA,15,65,50,74,148,327,418,11,9,203,330,210,NA,NA,NA,NA,50,NA,NA,340,10
"11",2015-03-14,"ACCRA",NA,230,200,200,160,130,180,14,NA,15,65,50,74,148,327,418,11,9,203,330,210,NA,NA,NA,NA,50,NA,NA,340,11
"12",2015-03-21,"ACCRA",NA,230,200,200,160,130,180,14,NA,15,65,50,74,148,327,418,11,9,203,330,210,NA,NA,NA,NA,50,NA,NA,340,12
"13",2015-03-28,"ACCRA",NA,230,200,200,160,130,180,14,NA,15,65,50,74,148,327,418,11,9,203,330,210,NA,NA,NA,NA,50,NA,NA,340,13
"14",2015-04-04,"ACCRA",NA,200,240,210,168,134,183,14,NA,15,75,50,74,145,317,431,12,10,200,330,203,NA,NA,NA,NA,50,NA,NA,340,14
"15",2015-04-11,"ACCRA",NA,200,240,210,168,134,183,14,NA,15,75,50,74,145,317,431,12,10,200,330,203,NA,NA,NA,NA,50,NA,NA,340,15
"16",2015-04-18,"ACCRA",NA,200,230,210,170,151,191,14,NA,16,75,50,75,140,423,443,23,15,203,320,200,NA,NA,NA,NA,50,NA,NA,340,16
"17",2015-04-25,"ACCRA",NA,200,230,206,168,143,181,14,NA,17,75,50,73,145,409,431,25,15,203,330,203,NA,NA,NA,NA,50,NA,NA,340,17
"18",2015-05-02,"ACCRA",NA,200,220,200,190,140,200,14,NA,15,95,50,75,140,360,450,13,10,170,300,210,NA,NA,NA,NA,50,NA,NA,330,18
"19",2015-05-09,"ACCRA",NA,200,220,200,190,140,200,14,NA,15,95,50,75,140,360,450,13,10,170,300,210,NA,NA,NA,NA,50,NA,NA,330,19
"20",2015-05-16,"ACCRA",NA,190,220,200,190,150,190,14,NA,15,90,50,70,140,320,450,18,14,160,300,200,NA,NA,NA,NA,48,NA,NA,330,20
"21",2015-05-23,"ACCRA",NA,190,220,200,190,150,190,14,NA,15,90,50,70,140,350,450,18,14,160,300,200,NA,NA,NA,NA,45,NA,NA,330,21
"22",2015-05-30,"ACCRA",NA,190,220,200,190,150,190,14,NA,15,90,50,70,150,360,450,22,18,250,320,200,NA,NA,NA,NA,48,NA,NA,360,22
"23",2015-06-06,"ACCRA",NA,190,220,200,190,150,190,14,NA,15,90,50,70,150,600,450,22,18,250,320,200,NA,NA,NA,NA,48,NA,NA,360,23
